symbol,buyOrderPrice1,buyOrderQty1,sellOrderPrice1,sellQty1,lastTradedPrice,underLyingLtp,futuresLtp,spread,spreadPer,openPositions,annualisedYieldPer,volume,turnOver,transactionValue,caExpDate,ca,meta,series_key,snapshot_date
APOLLOHOSP,0.0,0,5.0,69,0.0,8836.0,8883.5,-47.5,-0.54,0,0.9,0,0.0,0.0,14-Aug-2026,DIVIDEND - RS 10 PER SH 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
SUNPHARMA,0.01,1400,0.8,2840,0.0,1840.0,1849.9,-9.9,-0.54,46551,0.78,0,0.0,0.0,07-Jul-2026,DIVIDEND - RS 5 PER SHARE 07-Jul-2026,{'isSLBSec': True},XO,2026-09-13
HINDUNILVR,0.0,0,0.85,46,0.0,1927.0,1937.4,-10.4,-0.54,3701,0.74,0,0.0,0.0,23-Jun-2026,DIVIDEND - RS 22 PER SHARE 23-Jun-2026,{'isSLBSec': True},XO,2026-09-13
HINDZINC,0.0,0,1.91,425,0.0,576.45,579.55,-3.1,-0.54,1685,5.37,0,0.0,0.0,30-Apr-2026,INTERIM DIVIDEND - RS 11 PER SHARE 30-Apr-2026,{'isSLBSec': True},XO,2026-09-13
ONGC,0.0,0,0.4,754,0.0,232.5,233.79,-1.29,-0.55,4573,3.07,0,0.0,0.0,04-Sep-2026,DIVIDEND - RE 1 PER SHARE 04-Sep-2026,{'isSLBSec': True},XO,2026-09-13
GAIL,0.0,0,0.13,200,0.0,173.62,174.58,-0.96,-0.55,140068,0.18,0,0.0,0.0,02-Sep-2026,DIVIDEND - RE 0.50 PER SHARE 02-Sep-2026,{'isSLBSec': True},XO,2026-09-13
BOSCHLTD,0.0,0,99.93,3,0.0,48385.0,48650.0,-265.0,-0.55,463,2.95,0,0.0,0.0,04-Aug-2026,DIVIDEND - RS 270 PER SHARE 04-Aug-2026,{'isSLBSec': True},XO,2026-09-13
NMDC,0.0,0,0.1,1000,0.0,82.4,82.85,-0.45,-0.55,155477,5.78,0,0.0,0.0,13-Feb-2026,INTERIM DIVIDEND - RS 2.50 PER SHARE 13-Feb-2026,{'isSLBSec': True},XO,2026-09-13
IOC,0.0,0,0.17,1650,0.0,135.11,135.9,-0.79,-0.58,100500,2.94,0,0.0,0.0,14-Aug-2026,DIVIDEND - RS 1.25 PER SHARE 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
INDUSINDBK,0.0,0,1.0,6,1.0,978.2,984.0,-5.8,-0.59,114985,1.62,284,261.28,282381.2,25-Jun-2026,DIVIDEND - RS 1.50 PER SHARE 25-Jun-2026,{'isSLBSec': True},XO,2026-09-13
ADANIPOWER,0.0,0,0.12,25000,0.12,209.97,211.2,-1.23,-0.59,7810,0.91,95,11.4,20293.9,22-Sep-2025,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE 22-Sep-2025,{'isSLBSec': True},XO,2026-09-13
TATAPOWER,0.0,0,0.17,476,0.0,364.65,366.85,-2.2,-0.6,442,0.65,0,0.0,0.0,23-Jun-2026,DIVIDEND - RS 2.50 PER SHARE 23-Jun-2026,{'isSLBSec': True},XO,2026-09-13
SBILIFE,0.0,0,1.98,333,0.0,1684.7,1694.8,-10.1,-0.6,100,1.87,0,0.0,0.0,06-Mar-2026,INTERIM DIVIDEND - RS 2.70 PER SHARE 06-Mar-2026,{'isSLBSec': True},XO,2026-09-13
CGPOWER,0.0,0,2.0,100,0.0,909.0,914.45,-5.45,-0.6,16050,3.49,0,0.0,0.0,30-Jan-2026,INTERIM DIVIDEND - RS 1.30 PER SHARE 30-Jan-2026,{'isSLBSec': True},XO,2026-09-13
NAUKRI,0.0,0,3.8,1205,0.0,1250.8,1258.4,-7.6,-0.61,0,7.52,0,0.0,0.0,24-Jul-2026,DIVIDEND - RS 3.60 PER SHARE 24-Jul-2026,{'isSLBSec': True},XO,2026-09-13
BRITANNIA,0.0,0,6.5,500,0.0,4962.0,4993.0,-31.0,-0.62,143908,0.31,0,0.0,0.0,31-Jul-2026,DIVIDEND - RS 90.50 PER SHARE 31-Jul-2026,{'isSLBSec': True},XO,2026-09-13
SOLARINDS,0.0,0,50.0,20,0.0,22290.0,22430.0,-140.0,-0.63,192,7.12,0,0.0,0.0,28-Jul-2026,DIVIDEND - RS 11 PER SHARE 28-Jul-2026,{'isSLBSec': True},XO,2026-09-13
POLYCAB,0.0,0,16.0,27,0.0,8241.0,8293.0,-52.0,-0.63,3132,3.84,0,0.0,0.0,19-Jun-2026,DIVIDEND - RS 47 PER SHARE 19-Jun-2026,{'isSLBSec': True},XO,2026-09-13
DIVISLAB,0.0,0,10.0,100,0.0,9322.0,9381.5,-59.5,-0.64,2304,2.55,0,0.0,0.0,24-Jul-2026,DIVIDEND - RS 30 PER SHARE 24-Jul-2026,{'isSLBSec': True},XO,2026-09-13
ADANIENSOL,0.0,0,5.0,1865,0.0,1373.0,1381.8,-8.8,-0.64,199191,4.28,0,0.0,0.0,14-Jun-2024,ANNUAL GENERAL MEETING 14-Jun-2024,{'isSLBSec': True},XO,2026-09-13
EICHERMOT,0.0,0,4.98,90,0.0,7530.0,7579.5,-49.5,-0.66,0,1.05,0,0.0,0.0,31-Jul-2026,DIVIDEND - RS 82 PER SHARE 31-Jul-2026,{'isSLBSec': True},XO,2026-09-13
LICI,0.0,0,1.25,1,0.0,404.1,406.75,-2.65,-0.66,11328,6.87,0,0.0,0.0,25-Jun-2026,DIVIDEND - RS 10 PER SHARE 25-Jun-2026,{'isSLBSec': True},XO,2026-09-13
PREMIERENE,0.25,462,3.0,462,0.0,974.2,980.6,-6.4,-0.66,47366,0.77,0,0.0,0.0,08-May-2026,INTERIM DIVIDEND - RE 0.75 PER SHARE 08-May-2026,{'isSLBSec': True},XO,2026-09-13
BPCL,0.0,0,0.64,11,0.0,304.5,306.55,-2.05,-0.67,28875,2.61,0,0.0,0.0,02-Feb-2026,INTERIM DIVIDEND - RS 10 PER SHARE 02-Feb-2026,{'isSLBSec': True},XO,2026-09-13
INFY,0.02,200,0.5,40,0.0,1037.7,1044.8,-7.1,-0.68,10720614,0.76,0,0.0,0.0,10-Jun-2026,DIVIDEND - RS 25 PER SHARE 10-Jun-2026,{'isSLBSec': True},XO,2026-09-13
RELIANCE,0.0,0,0.35,225,0.0,1257.5,1266.1,-8.6,-0.68,1645090,0.49,0,0.0,0.0,05-Jun-2026,DIVIDEND - RS 6 PER SHARE 05-Jun-2026,{'isSLBSec': True},XO,2026-09-13
MARICO,0.0,0,0.55,35,0.0,802.1,807.65,-5.55,-0.69,1200,1.09,0,0.0,0.0,30-Jul-2026,DIVIDEND - RS 4 PER SHARE 30-Jul-2026,{'isSLBSec': True},XO,2026-09-13
CONCOR,0.0,0,0.85,30,0.0,499.25,502.8,-3.55,-0.71,521,15.89,0,0.0,0.0,04-Aug-2026,INTERIM DIVIDEND - RS 1.60 PER SHARE 04-Aug-2026,{'isSLBSec': True},XO,2026-09-13
HAL,0.0,0,3.99,100,0.0,4905.0,4940.5,-35.5,-0.72,898,1.6,0,0.0,0.0,14-Aug-2026,DIVIDEND - RS 10 PER SH 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
BHARTIARTL,0.0,0,1.48,70,0.0,1831.1,1844.5,-13.4,-0.73,16607,0.86,0,0.0,0.0,24-Jul-2026,DIVIDEND - RS 24 PER SHARE 24-Jul-2026,{'isSLBSec': True},XO,2026-09-13
AXISBANK,0.0,0,0.95,1500,0.0,1246.0,1255.3,-9.3,-0.75,43185,2.53,0,0.0,0.0,10-Jul-2026,DIVIDEND - RE 1 PER SHARE 10-Jul-2026,{'isSLBSec': True},XO,2026-09-13
UNIONBANK,0.0,0,0.9,10000,0.0,178.1,179.45,-1.35,-0.76,44250,4.37,0,0.0,0.0,03-Jul-2026,DIVIDEND - RS 5 PER SHARE 03-Jul-2026,{'isSLBSec': True},XO,2026-09-13
TMPV,0.0,0,0.27,650,0.0,301.1,303.4,-2.3,-0.76,26809,1.48,0,0.0,0.0,19-Jun-2026,DIVIDEND - RS 3 PER SHARE 19-Jun-2026,{'isSLBSec': True},XO,2026-09-13
HINDPETRO,0.0,0,0.39,5250,0.0,352.0,354.7,-2.7,-0.77,31866,2.21,0,0.0,0.0,14-Aug-2026,DIVIDEND - RS 19.25 PER SHARE 14-Aug-2026,{'isSLBSec': True},XO,2026-09-13
