Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
18-SEP-2023,10.9025,11.4075,10.45,10.835,10.9025,-0.07,-0.62
20-SEP-2023,10.835,11.47,10.835,11.1275,10.835,0.29,2.70
21-SEP-2023,11.1275,11.39,10.62,10.8175,11.1275,-0.31,-2.79
22-SEP-2023,10.8175,11.0725,10.3925,10.66,10.8175,-0.16,-1.46
25-SEP-2023,10.66,11.305,10.2725,10.9,10.66,0.24,2.25
26-SEP-2023,10.9,11.29,9.2475,11.185,10.9,0.29,2.61
27-SEP-2023,11.185,11.8225,9.39,11.585,11.185,0.40,3.58
28-SEP-2023,11.585,13.0225,9.3975,12.8225,11.585,1.24,10.68
29-SEP-2023,12.8225,12.8225,11.3075,11.4525,12.8225,-1.37,-10.68
03-OCT-2023,11.4525,12.4075,10.775,11.7875,11.4525,0.34,2.93
04-OCT-2023,11.7875,12.22,11.115,11.655,11.7875,-0.13,-1.12
05-OCT-2023,11.655,11.655,10.8425,10.94,11.655,-0.72,-6.13
06-OCT-2023,10.94,10.94,9.73,10.3,10.94,-0.64,-5.85
09-OCT-2023,10.3,11.6325,10.12,11.4,10.3,1.10,10.68
10-OCT-2023,11.4,11.4,10.855,11.27,11.4,-0.13,-1.14
11-OCT-2023,11.27,11.3225,10.39,10.985,11.27,-0.29,-2.53
12-OCT-2023,10.985,11.1175,10.565,10.6175,10.985,-0.37,-3.35
13-OCT-2023,10.6175,11.025,10.4025,10.6175,10.6175,0.00,0.00
16-OCT-2023,10.6175,11.1525,9.1525,11.07,10.6175,0.45,4.26
17-OCT-2023,11.07,11.07,10.4275,10.695,11.07,-0.38,-3.39
18-OCT-2023,10.695,11.17,10.485,10.965,10.695,0.27,2.52
19-OCT-2023,10.965,11.2125,10.0475,10.8975,10.965,-0.07,-0.62
20-OCT-2023,10.8975,11.09,10.075,10.8175,10.8975,-0.08,-0.73
23-OCT-2023,10.8175,11.3575,8.825,10.905,10.8175,0.09,0.81
25-OCT-2023,10.905,12.1775,9.965,11.3125,10.905,0.41,3.74
26-OCT-2023,11.3125,12.7,11.3125,11.73,11.3125,0.42,3.69
27-OCT-2023,11.73,12.305,10.6725,10.905,11.73,-0.83,-7.03
30-OCT-2023,10.905,12.1925,10.905,11.49,10.905,0.59,5.36
31-OCT-2023,11.49,12.285,11.2625,11.825,11.49,0.34,2.92
01-NOV-2023,11.825,12.195,11.825,12.0475,11.825,0.22,1.88
02-NOV-2023,12.0475,12.0475,10.9475,11.075,12.0475,-0.97,-8.07
03-NOV-2023,11.075,11.075,10.635,10.8825,11.075,-0.19,-1.74
06-NOV-2023,10.8825,11.28,10.38,11.105,10.8825,0.22,2.04
07-NOV-2023,11.105,12.1775,11,11.1925,11.105,0.09,0.79
08-NOV-2023,11.1925,11.3325,10.63,11.0375,11.1925,-0.16,-1.38
09-NOV-2023,11.0375,11.2525,10.37,10.9825,11.0375,-0.06,-0.50
10-NOV-2023,10.9825,11.3575,9.86,11.1075,10.9825,0.13,1.14
12-NOV-2023,11.1075,11.54,9.7525,11.3475,11.1075,0.24,2.16
13-NOV-2023,11.3475,11.6325,10.5025,11.1875,11.3475,-0.16,-1.41
15-NOV-2023,11.1875,11.4175,8.395,11.135,11.1875,-0.05,-0.47
16-NOV-2023,11.135,11.8075,10.6175,11.6475,11.135,0.51,4.60
17-NOV-2023,11.6475,12.09,10.19,11.8275,11.6475,0.18,1.55
20-NOV-2023,11.8275,12.67,11.2,12.1475,11.8275,0.32,2.71
21-NOV-2023,12.1475,12.435,10.755,12.2325,12.1475,0.09,0.70
22-NOV-2023,12.2325,12.7075,11.0225,11.865,12.2325,-0.37,-3.00
23-NOV-2023,11.865,12.14,10.975,11.315,11.865,-0.55,-4.64
24-NOV-2023,11.315,11.465,8.6775,11.33,11.315,0.02,0.13
28-NOV-2023,11.33,12.4925,11.065,12.175,11.33,0.85,7.46
29-NOV-2023,12.175,14.46,11.3325,12.7075,12.175,0.53,4.37
30-NOV-2023,12.7075,13.3525,11.7625,12.69,12.7075,-0.02,-0.14
01-DEC-2023,12.69,12.755,11.7775,12.3825,12.69,-0.31,-2.42
04-DEC-2023,12.3825,13.16,11.34,12.9925,12.3825,0.61,4.93
