date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2024-11-18,1256.7467703539512,1262.0014401044657,1233.24973843027,1249.9554443359375,13620611,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.5404,-1.0594,-1.7916,-5.8193,12118904.0,14092707.0,1.1239,0.9665,elevated,28.75,2.3002,-0.0,-0.0,23.25,24.95,1.2618,1.0671,0.7857,-0.12,0.12,-0.32,0.292,deteriorated
2024-11-19,1249.9553610165642,1270.5276979121372,1224.5745744010292,1231.0189208984375,14183746,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.515,-0.8306,-2.4397,-4.6462,13144343.0,14098524.0,1.0791,1.006,normal,45.95,3.7329,-0.0,-0.0,28.67,26.61,1.0748,1.0621,1.2273,0.102,0.14,-0.2,0.3564,weakened
2024-11-21,1231.0190296194417,1233.299264427905,1206.827917964558,1212.5286865234375,19433843,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.502,-3.5185,-4.022,-6.3051,14896893.0,14278618.0,1.3046,1.361,elevated,26.47,2.1832,0.0,0.0,29.64,26.75,1.0289,1.0111,0.4706,-0.36,0.14,-0.42,0.242,deteriorated
2024-11-22,1218.8737871048172,1257.985964127004,1211.983221035894,1254.5655517578125,20471957,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,2.9283,0.3688,1.0662,-4.5233,16064558.0,14441479.0,1.2744,1.4176,elevated,46.0,3.6668,6.35,0.5233,33.7,28.78,1.4315,1.1501,49.0,0.96,0.28,0.06,0.61,strengthened
2024-11-25,1278.9549045518283,1293.2811339485756,1271.4694999174592,1275.9805908203125,28923341,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.2326,3.6524,1.5304,-1.4284,19326700.0,14779849.0,1.4965,1.9569,elevated,21.81,1.7094,24.39,1.944,37.18,30.84,1.389,1.1474,4.5556,0.64,0.32,0.28,0.584,strengthened
2024-11-26,1283.8626226527838,1286.737817131633,1273.2046638791437,1284.606201171875,9247557,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.0579,5.9444,2.7722,0.9309,18452089.0,14312352.0,0.5012,0.6461,dry,13.53,1.0535,7.88,0.6177,34.14,27.92,1.3635,1.1465,0.7857,-0.12,0.3,0.08,0.404,weakened
2024-11-27,1282.4250432843671,1292.6864023015985,1274.9892583407009,1282.1275634765625,9572746,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-0.0232,2.1969,4.1517,1.6108,17529889.0,14249772.0,0.5461,0.6718,dry,17.7,1.3803,-2.18,-0.1698,28.48,27.53,1.3594,1.1458,1.0,0.0,0.28,0.1,0.422,weakened
2024-11-28,1278.905374093644,1285.4984608667178,1258.184417128475,1259.91943359375,15027412,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,-1.4845,-1.2587,3.9084,-0.2707,16648603.0,14400724.0,0.9026,1.0435,normal,27.31,2.1679,-3.22,-0.2513,28.65,27.49,1.4255,1.1591,0.087,-0.84,0.22,-0.02,0.218,deteriorated
2024-11-29,1269.040613461441,1288.3736540571424,1264.3312830599236,1281.1361083984375,13202307,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,0.9531,-0.2701,2.1179,3.2067,15194673.0,14461619.0,0.8689,0.9129,dry,24.04,1.8766,9.12,0.7239,25.14,27.91,1.4075,1.1555,7.3333,0.76,0.26,0.04,0.56,strengthened
2024-12-02,1276.9722229086012,1300.1222774340952,1266.1160245478172,1297.941162109375,11024152,yfinance:RELIANCE.NS,2026-08-05T14:32:12.887897,1.6421,1.2334,1.7211,3.2779,11614835.0,14546244.0,0.9491,0.7579,normal,34.01,2.62,-4.16,-0.325,24.2,28.17,1.4635,1.2008,1.9412,0.32,0.34,0.04,0.504,mixed
