date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,advance_decline_ratio,net_advances_pct,pct_above_50dma,highs_minus_lows_pct,composite_breadth_score,market_breadth_state
2023-01-24,3090.78528655422,3115.1054362054274,3083.8367038420397,3100.982666015625,1387863,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.3299,1.8737,1.7138,6.938,1598272.0,1911043.0,0.8684,0.7262,dry,31.27,1.0083,9.11,0.2958,37.04,55.89,0.5399,1.1572,0.6129,-0.24,0.46,0.04,0.44,weakened
2023-01-25,3091.056056581995,3099.809477418407,3072.7369055632244,3095.07177734375,874110,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.1299,1.9818,1.1726,5.3778,1288856.0,1853435.0,0.6782,0.4716,dry,27.07,0.8747,-9.93,-0.3201,36.06,54.42,0.5037,1.1247,0.2821,-0.56,0.42,-0.32,0.324,weakened
2023-01-27,3091.6874086767493,3109.7357881786565,3052.251743528508,3078.1962890625,1785879,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.4364,-0.1127,1.1251,4.6256,1329023.0,1849880.0,1.3438,0.9654,elevated,57.48,1.8675,-3.38,-0.1093,42.32,51.52,0.5709,1.1098,0.2821,-0.56,0.32,-0.34,0.282,deteriorated
2023-01-30,3086.27313262084,3120.971100823279,3055.184840596906,3098.591064453125,1953798,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.3991,-0.0771,2.0978,4.0642,1413913.0,1855076.0,1.3818,1.0532,elevated,65.79,2.1231,8.08,0.2624,48.43,48.95,0.5353,1.0802,1.2727,0.12,0.3,-0.22,0.422,weakened
2023-01-31,3112.442566547711,3112.442566547711,3024.005520586077,3030.9541015625,2820375,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-2.6182,-2.0716,-1.6457,0.7393,1764405.0,1960617.0,1.5985,1.4385,spike,88.44,2.9178,13.85,0.447,54.68,49.6,1.0649,1.2372,0.96,-0.0204,0.3,0.0,0.4159,weakened
2023-02-01,3034.83473656795,3085.370194566108,3027.615385425356,3075.759521484375,2205161,yfinance:TCS.NS,2026-08-02T18:42:50.192839,1.3485,-0.0792,-0.8134,0.8865,1927865.0,2008616.0,1.1438,1.0979,elevated,57.75,1.8777,3.88,0.128,59.54,48.79,1.0494,1.2312,0.9231,-0.04,0.34,-0.08,0.42,weakened
2023-02-02,3092.5897637316407,3130.491359902265,3086.363161059032,3122.73046875,1813847,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.9746,0.779,0.8936,2.0767,2115812.0,2037725.0,0.8573,0.8901,dry,44.13,1.4131,16.83,0.5472,64.84,50.53,1.0919,1.2119,0.6667,-0.2,0.28,-0.12,0.36,weakened
2023-02-03,3162.076345772332,3162.076345772332,3115.9626442696253,3142.493896484375,1804469,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.6193,3.68,2.0888,3.2374,2119530.0,2036646.0,0.8514,0.886,dry,46.11,1.4674,39.35,1.26,62.56,49.16,1.111,1.2,3.5455,0.56,0.36,-0.08,0.548,mixed
2023-02-06,3134.236104127505,3134.236104127505,3101.478474418645,3122.32421875,1138714,yfinance:TCS.NS,2026-08-02T18:42:50.192839,-0.3801,1.5139,0.7659,2.8798,1956513.0,1969163.0,0.582,0.5783,dry,32.76,1.0491,-8.26,-0.2628,57.61,48.54,1.1184,1.1817,0.6667,-0.2,0.38,-0.04,0.408,weakened
2023-02-07,3130.4011068970385,3152.149492409252,3123.632964557196,3133.695068359375,1455647,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.1052,0.3511,3.3897,1.6882,1683568.0,1897692.0,0.8646,0.7671,dry,28.52,0.91,8.08,0.2587,45.89,46.76,1.0842,1.1581,0.6129,-0.24,0.3,-0.04,0.368,weakened
2023-02-08,3138.658220197554,3194.4726991238244,3138.658220197554,3176.60498046875,1986946,yfinance:TCS.NS,2026-08-02T18:42:50.192839,1.209,1.0855,3.2787,2.4387,1639925.0,1803806.0,1.2116,1.1015,elevated,55.81,1.757,4.96,0.1584,46.49,48.73,1.1542,1.1511,3.4545,0.551,0.32,0.02,0.5402,mixed
2023-02-09,3172.0027035874955,3201.421650359285,3163.249283575588,3195.330322265625,1655427,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.7354,2.3382,2.3249,3.2393,1608241.0,1750552.0,1.0293,0.9457,normal,38.17,1.1946,-4.6,-0.1449,43.18,49.59,1.1768,1.1331,1.2727,0.12,0.38,0.08,0.484,mixed
2023-02-10,3176.514554888765,3196.6837056013396,3165.820802706398,3192.35205078125,1187821,yfinance:TCS.NS,2026-08-02T18:42:50.192839,0.4986,1.8718,1.5866,3.7085,1484911.0,1697424.0,0.7999,0.6998,dry,30.86,0.9668,-18.82,-0.5889,40.13,49.28,1.169,1.1134,0.8519,-0.08,0.36,0.06,0.434,weakened
